Make, 1-to-5 Year Cost, 6-to-10 Year Cost
Toyota, 685, 2290
Lincoln, 540, 2765
Buick, 650, 2705
Mazda, 910, 2500
Hyundai, 765, 2655
Ford, 735, 2715
Tesla, 425, 3060
Chevrolet, 765, 2730
Honda, 975, 2580
Nissan, 890, 2730
Kia, 975, 2655
Chrysler, 895, 2900
Lexus, 975, 2850
Cadillac, 765, 3160
Volkswagen, 775, 3360
Jeep, 790, 3415
GMC, 1000, 3255
Subaru, 1030, 3290
Dodge, 905, 3435
Infiniti, 1160, 3350
Ram, 1135, 3375
Acura, 1170, 3355
Mini, 955, 3925
Volvo, 1070, 3970
Audi, 1170, 4725
BMW, 930, 4980
Mercedes-Benz, 1770, 5185
Porsche, 2410, 6330
